ImageID,NucleiID,Number_foci_method1,Number_foci_method2,Number_foci_method3,Intensity
63,5,0,0,1,6.513725765
63,6,2,0,25,977.9529407
63,7,5,2,12,731.1372683
63,8,0,0,11,609.8117769
63,9,0,0,0,4.129411655
63,10,0,0,8,857.8196078
63,11,0,0,1,717.690196
63,12,0,0,15,1176.580397
63,13,0,0,0,12.13725429
63,14,0,0,4,636.2627495
63,15,0,0,5,754.7764784
64,1,14,7,29,176.8941221
64,2,241,98,369,1854.925514
64,3,92,14,236,1445.713771
64,4,59,10,162,1127.070636
64,5,179,63,286,1405.011784
64,6,158,33,289,1469.11373
64,7,262,128,392,1865.847088
64,8,45,9,103,1165.568639
64,9,29,1,101,764.839236
64,10,107,17,223,1006.705893
64,11,255,61,478,2084.796105
64,12,1,0,5,12.32941157
64,13,42,13,95,472.3803975
64,14,50,9,98,418.0627502
64,15,15,2,55,669.047085
64,16,170,37,332,1481.941228
64,17,91,26,207,1362.309816
64,18,21,2,79,647.1725721
65,1,409,280,500,3037.031427
65,2,19,5,53,708.043169
65,3,99,30,179,831.2157057
65,4,10,5,22,67.99215767
65,5,115,49,180,925.1607989
65,6,291,106,480,2158.76866
65,7,3,0,4,13.60392183
65,8,97,22,251,2076.74124
65,9,165,46,310,1750.65102
65,10,130,37,261,1674.11376
65,11,1,0,4,10.98823567
66,1,127,44,202,1039.247077
66,2,119,33,207,993.2784548
66,3,24,2,76,734.3411932
66,4,49,10,102,788.4117851
66,5,34,8,84,1006.129446
66,6,322,148,451,2043.658857
66,7,1,0,2,8.631372817
66,8,96,25,221,1058.517667
66,9,106,15,239,1590.85102
66,10,165,47,290,1691.235327
66,11,24,3,126,1266.176511
66,12,0,0,3,10.29411813
66,13,15,1,49,546.0705983
66,14,67,17,174,1378.003945
66,15,41,10,101,795.878452
67,1,40,4,129,903.141201
67,2,191,68,311,1621.117678
67,3,60,9,141,1506.470644
67,4,50,10,95,524.1686471
67,5,24,3,64,449.3372728
67,6,321,153,443,1804.745127
67,7,0,0,0,35.5490192
67,8,4,0,15,675.3607934
67,9,0,0,1,172.7098039
67,10,2,0,6,462.1725441
67,11,14,1,70,976.7059021
67,12,41,6,152,996.8235639
68,1,0,0,4,14.9764713
68,2,64,8,158,823.2510073
68,3,13,3,37,249.3098118
68,4,94,12,205,1053.007867
68,5,1,1,3,66.74117862
68,6,4,2,16,489.2078599
68,7,46,6,137,1057.129442
68,8,1,1,5,47.84706017
68,9,10,2,35,481.9137388
68,10,83,17,190,1109.360817
68,11,19,10,52,816.6862888
68,12,15,6,44,1011.070619
68,13,18,1,55,445.6666795
68,14,13,3,34,360.6823618
68,15,16,3,39,382.2117689
68,16,23,5,67,518.4705942
68,17,20,4,59,556.8980564
68,18,78,16,173,1124.866682
68,19,59,8,173,1107.850996
68,20,15,2,80,840.2823415
68,21,127,34,215,1218.364725
68,22,0,0,0,20.67843104
69,1,223,86,361,1742.623573
69,2,324,166,442,1798.62356
69,3,6,0,6,17.55294149
69,4,144,40,225,958.3725699
69,5,178,59,302,1284.615708
69,6,164,68,244,1011.870604
69,7,313,165,432,1946.878461
69,8,286,115,400,1703.294146
69,9,297,144,415,1663.615716
69,10,100,23,237,950.5921778
70,1,8,1,47,1255.152952
70,2,46,3,92,1151.647069
70,3,35,11,69,514.3686415
70,4,19,7,47,695.5372739
70,5,5,1,14,130.5333317
70,6,31,4,66,398.0902077
70,7,5,2,26,729.6117746
70,8,17,3,54,970.874543
70,9,2,0,9,327.9372493
70,10,6,2,16,282.670584
70,11,55,9,113,976.4431572
70,12,4,2,7,88.03529609
70,13,51,15,96,640.1411856
70,14,124,42,231,1314.235325
70,15,96,27,181,1216.239228
70,16,75,23,134,759.59609
70,17,41,7,96,468.2156937
70,18,171,53,283,1406.741206
70,19,199,55,367,1388.890213
70,20,12,3,43,704.7215533
70,21,25,6,112,773.3686421
70,22,2,0,4,15.36470652
70,23,0,0,5,10.69019651
71,1,23,6,65,759.3137514
71,2,43,22,94,830.9059025
71,3,100,40,172,1864.937266
71,4,0,0,0,10.08235303
71,5,27,6,66,650.7372658
71,6,5,2,6,100.0901987
71,7,151,54,236,1011.415704
71,8,192,76,273,1089.03531
71,9,91,33,180,1694.835332
71,10,206,64,340,1465.400018
71,11,109,31,200,976.0196352
71,12,34,3,98,799.3411994
71,13,3,0,7,10.84705921
71,14,55,15,139,1027.478458
71,15,44,3,126,754.6078587
71,16,20,6,56,429.5646996
71,17,2,0,7,157.7646996
71,18,1,0,2,24.68627352
71,19,213,91,284,1233.16472
71,20,38,7,145,967.0157141
71,21,14,1,37,329.5058851
71,22,15,4,38,270.6627483
71,23,100,20,192,663.6196166
72,1,2,0,5,13.26274563
72,2,171,49,274,1119.345125
72,3,316,157,445,2105.686306
72,4,16,5,43,741.2902214
72,5,4,0,4,10.2352943
72,6,2,1,7,21.21568666
72,7,6,6,6,46.92941204
72,8,162,50,274,2720.054952
72,9,42,16,105,900.2078716
72,10,1,0,4,8.450980633
72,11,112,25,198,939.2627667
72,12,33,16,82,954.3294409
72,13,78,24,172,909.6549292
72,14,101,29,163,658.3804055
72,15,136,34,264,1014.67453
72,16,48,10,116,601.5019737
72,17,17,2,51,267.9843211
72,18,117,28,266,997.4117856
72,19,166,55,286,1237.145125
72,20,3,1,5,12.66274565
72,21,2,0,2,12.20392187
73,1,0,0,1,32.6627458
73,2,10,1,29,1132.184347
73,3,3,1,11,575.686292
73,4,3,0,3,545.4353048
73,5,170,93,221,1263.894143
73,6,168,87,251,1466.058844
73,7,4,1,5,17.74117676
73,8,41,12,93,1153.176464
73,9,1,1,2,15.03921613
73,10,84,26,181,1301.584346
73,11,191,77,312,2320.533357
73,12,46,8,86,595.3411788
73,13,99,28,163,983.0941263
73,14,28,7,96,1212.415698
73,15,89,20,187,1926.937242
73,16,12,0,35,896.7450895
73,17,31,6,135,996.0078533
73,18,0,0,7,12.89019623
73,19,63,6,162,955.3803964
73,20,4,0,4,18.69803946
73,21,0,0,3,13.6
74,1,105,21,203,1255.474536
74,2,83,25,172,1404.764731
74,3,17,4,53,1101.368669
74,4,64,22,145,1852.278444
74,5,53,11,134,1262.223541
74,6,7,0,9,25.3411766
74,7,171,55,300,1750.137254
74,8,121,21,307,1781.949053
74,9,122,19,274,1791.61572
74,10,4,0,9,15.38823577
74,11,1,0,1,9.600000158
75,1,83,15,177,829.2235551
75,2,101,27,190,1077.576487
75,3,87,15,210,932.513757
75,4,97,19,203,834.9019855
75,5,111,25,227,925.4784605
75,6,17,3,82,723.2235443
75,7,10,0,53,736.564733
75,8,199,58,364,1473.862781
75,9,5,1,54,690.2353041
75,10,9,3,20,729.8588533
75,11,1,1,11,586.4902086
75,12,14,2,55,1058.25886
75,13,1,0,4,205.1686261
75,14,149,40,295,1398.50592
76,1,39,9,100,1052.980392
76,2,3,0,5,15.95686314
76,3,145,34,294,1293.176484
76,4,146,36,306,1589.866686
76,5,213,51,363,1883.690216
76,6,321,104,482,2340.847077
76,7,177,24,346,1652.772574
76,8,6,0,34,539.4470643
76,9,92,12,242,1342.992171
76,10,11,2,46,401.8431369
76,11,32,3,94,592.4274575
76,12,130,26,249,1221.454907
76,13,47,18,84,1055.733342
76,14,119,24,239,1094.317659
76,15,5,5,5,87.37255077
76,16,48,8,130,1016.427466
77,1,21,7,56,562.1215898
77,2,3,0,21,806.2627658
77,3,6,0,29,836.5647211
77,4,71,16,181,848.858855
77,5,16,1,69,533.1529626
77,6,240,101,372,1624.447085
77,7,21,6,53,446.8941351
77,8,95,24,179,801.3882604
77,9,17,1,88,770.1921869
77,10,191,38,333,1311.352975
77,11,0,0,0,172.0862677
77,12,2,0,13,438.9529369
77,13,1,0,8,472.0548849
77,14,6,1,14,748.4235276
77,15,1,0,8,539.1764561
77,16,0,0,4,803.5332955
77,17,62,4,158,850.2235464
77,18,8,8,8,148.3725497
78,1,148,43,239,1185.184334
78,2,62,5,138,954.0863076
